country,temperature_celsius,precip_mm,humidity,wind_kph
Guinea-Bissau,25.256573705179285,0.17450199203187253,72.88579017264276,11.977954847277555
Vanuatu,25.23766578249337,0.20417771883289124,85.85013262599469,16.283289124668435
Egypt,25.23351063829787,0.0005984042553191489,43.577127659574465,14.45625
Komoren,25.2,0.0,71.0,24.8
Trinidad and Tobago,25.18428761651132,0.1903728362183755,88.46205059920106,11.252996005326231
Uganda,25.082493368700266,0.1559549071618037,67.0132625994695,9.008885941644563
Tanzania,25.058964143426298,0.06802124833997344,54.53120849933599,11.930810092961487
Fiji Islands,24.822781456953642,0.2874304635761589,89.3205298013245,11.63364238410596
Gambia,24.71013333333333,0.08321333333333333,70.58666666666667,16.454
Bahamas,24.621122994652403,0.04913101604278075,80.80882352941177,21.005614973262034
Guyana,24.593600000000002,0.42464,94.84933333333333,9.1432
USA United States of America,24.53333333333333,0.53,66.0,12.933333333333332
Nicaragua,24.46323529411765,0.1018716577540107,83.8409090909091,11.28836898395722
Suriname,24.357390146471374,0.1788548601864181,93.39680426098535,9.313981358189082
Malásia,24.3,1.55,93.0,6.5
Senegal,24.279002624671914,0.03305774278215223,77.66010498687665,21.009580052493437
Польша,24.2,0.0,56.0,13.7
Cyprus,24.1,0.028806366047745356,51.89124668435013,12.429310344827588
Brazil,24.083466666666666,0.20146666666666666,84.32,4.359333333333334
Tonga,24.027659574468085,0.16539893617021276,87.20877659574468,22.579787234042552
Dominican Republic,23.90785619174434,0.07199733688415447,94.29693741677762,9.22676431424767
Cape Verde,23.863660477453582,0.011777188328912468,71.59549071618036,20.302917771883287
Zambia,23.847877984084878,0.09795755968169761,49.51193633952255,13.147214854111406
Malawi,23.8053050397878,0.09558355437665782,56.41644562334218,11.429575596816976
El Salvador,23.555823293172693,0.17448460508701474,86.94645247657296,4.792904953145917
Rwanda,23.49045092838196,0.1737665782493369,61.91644562334218,6.258885941644562
Mauritania,23.3531208499336,0.006640106241699867,56.32934926958831,20.261885790172645
Estonie,23.3,0.0,61.0,16.9
